dates;FEIND;FEU;LNIO;EFKRKS;LONUDL;e;d;c
1980-1;103,5654;0,5395;0,2203;101,4853;0,9574;4,640203297;-0,617112494;-3,150682937
1980-2;101,5594;0,5131;0,2258;100,1185;0,9871;4,620643849;-0,667284521;-3,131232785
1980-3;101,2772;0,5243;0,2304;100,448;1,0148;4,617861312;-0,645691239;-3,127010282
1980-4;105,3798;0,5061;0,2347;97,9071;1,0388;4,657570967;-0,681021001;-3,096505693
1981-1;106,3947;0,5052;0,24;94,3925;1,0576;4,667155764;-0,682800889;-3,064343075
1981-2;110,0447;0,5119;0,2473;92,259;1,0784;4,700886647;-0,669625986;-3,051968274
1981-3;114,4289;0,528;0,2567;92,4773;1,1112;4,739953669;-0,638658995;-3,061675505
1981-4;116,3792;0,5257;0,2642;93,9052;1,1321;4,756853825;-0,643024571;-3,087162561
1982-1;108,8229;0,5318;0,2696;90,7288;1,1573;4,68972179;-0,6314878;-3,050969231
1982-2;115,6422;0,5427;0,2816;89,4428;1,1776;4,750500942;-0,611198598;-3,062853191
1982-3;112,7491;0,538;0,2878;87,7894;1,1964;4,725164996;-0,619896719;-3,050134232
1982-4;114,288;0,5339;0,2953;89,9768;1,216;4,738721578;-0,627546723;-3,084221586
1983-1;115,7574;0,5397;0,3025;91,4151;1,2354;4,751496622;-0,616741849;-3,108341867
1983-2;118,8039;0,5536;0,3101;90,2221;1,2545;4,777474235;-0,591312875;-3,104676868
1983-3;123,2961;0,5636;0,3147;87,891;1,2722;4,814588779;-0,573410499;-3,07921425
1983-4;124,079;0,5841;0,3188;87,3756;1,2907;4,82091846;-0,537683078;-3,071840029
1984-1;126,4662;0,6085;0,3248;86,7968;1,3076;4,839975079;-0,496758367;-3,070830688
1984-2;128,7753;0,6092;0,3304;86,4509;1,3236;4,858069025;-0,495608658;-3,071770088
1984-3;129,3998;0,6236;0,3335;86,0622;1,3459;4,862906836;-0,472246142;-3,059894943
1984-4;133,8354;0,6383;0,3382;86,4147;1,3657;4,896610687;-0,448946887;-3,06337284
1985-1;131,6867;0,6641;0,3407;86,663;1,3877;4,880425617;-0,409322538;-3,057626379
1985-2;134,3161;0,6547;0,3458;86,5887;1,4122;4,900195977;-0,423578164;-3,054125844
1985-3;143,5786;0,6748;0,3545;87,3558;1,4264;4,96688262;-0,393338928;-3,077788713
1985-4;140,217;0,681;0,3593;88,7988;1,4435;4,943191223;-0,384192973;-3,095704831
1986-1;142,9058;0,6914;0,3627;90,0462;1,4628;4,962185672;-0,369036751;-3,105791232
1986-2;136,0772;0,7292;0,3668;90,294;1,4698;4,913222372;-0,315807236;-3,115006137
1986-3;137,0086;0,7388;0,3728;91,2949;1,4942;4,920043698;-0,302728031;-3,125790784
1986-4;135,9155;0,7387;0,3831;93,5341;1,5111;4,912033369;-0,302863394;-3,166028986
1987-1;135,0123;0,7473;0,3991;95,428;1,5328;4,905365885;-0,291288568;-3,212732641
1987-2;140,3345;0,7626;0,41;94,6923;1,5467;4,944028859;-0,271021632;-3,222910939
1987-3;144,8343;0,7902;0,4173;93,0153;1,5654;4,97559033;-0,235469201;-3,210672722
1987-4;147,1188;0,8258;0,4294;93,6485;1,5858;4,991240424;-0,191402666;-3,233093006
1988-1;151,3076;0,8118;0,4328;93,8862;1,6043;5,019314851;-0,208501275;-3,231916335
1988-2;147,5857;0,8282;0,4384;92,7284;1,6283;4,994409024;-0,188500608;-3,217514721
1988-3;155,9457;0,848;0,4454;91,59;1,6446;5,04950787;-0,164874643;-3,211042378
1988-4;150,8551;0,8721;0,4547;91,2273;1,6675;5,016319773;-0,136851183;-3,213911277
1989-1;160,5029;0,8808;0,4598;89,4645;1,6937;5,078312011;-0,126924694;-3,189962747
1989-2;157,748;0,9176;0,4633;89,2374;1,7185;5,060998823;-0,085993713;-3,18046793
1989-3;160,8713;0,9094;0,47;89,8974;1,7378;5,080604666;-0,094970238;-3,19102649
1989-4;164,3728;0,9338;0,4816;92,4123;1,7605;5,102137019;-0,068492996;-3,230020842
1990-1;164,2588;0,9583;0,4926;95,3841;1,7906;5,101443233;-0,042594398;-3,267303345
1990-2;164,1296;0,9681;0,4956;96,6324;1,8192;5,10065636;-0,032419891;-3,270531115
1990-3;160,993;0,9738;0,5032;96,2992;1,8505;5,081360886;-0,026549335;-3,265236565
1990-4;162,6693;0,9907;0,5045;96,757;1,876;5,091719306;-0,009343515;-3,258873391
1991-1;171,2491;0,989;0,516;96,3183;1,8989;5,143119222;-0,011060947;-3,264735047
1991-2;170,0906;1,013;0,5227;94,0098;1,9228;5,136331236;0,012916225;-3,240868982
1991-3;168,7144;1,0119;0,5264;93,5303;1,951;5,128207345;0,011829752;-3,228249487
1991-4;166,2541;1,0042;0,5326;94,4954;1,9787;5,113517341;0,004191205;-3,236126487
1992-1;170,5778;1,0321;0,5421;94,7378;1,9927;5,139191498;0,031595562;-3,24931778
1992-2;171,8984;1,0161;0,5504;94,9967;2,0086;5,146903605;0,01597177;-3,2592942
1992-3;170,4984;1,0268;0,5556;97,3968;2,0334;5,138725913;0,02644717;-3,281377419
1992-4;167,323;1,0129;0,5599;100,2129;2,0513;5,119926076;0,012817504;-3,308826102
1993-1;164,9457;0,9652;0,5532;102,2843;2,0661;5,105616329;-0,035419945;-3,31005774
1993-2;173,0618;0,972;0,557;101,5555;2,0871;5,153648756;-0,028399475;-3,299639865
1993-3;176,7925;0,9858;0,5613;97,2776;2,1031;5,174976728;-0,014301785;-3,256656543
1993-4;180,9934;1,0071;0,5709;98,7048;2,1203;5,198460567;0,007074914;-3,280034773
1994-1;188,9174;1,0411;0,5615;98,9073;2,1446;5,241309882;0,040277846;-3,254086488
1994-2;191,3208;1,0927;0,5617;99,2286;2,1573;5,2539516;0,088651698;-3,25178146
1994-3;196,2219;1,1207;0,5699;100,4981;2,1707;5,279246162;0,11395349;-3,272794754
1994-4;202,1099;1,1672;0,5744;100,7862;2,1923;5,308811609;0,154607718;-3,273620959
1995-1;211,1202;1,1843;0,5728;101,8134;2,2131;5,35242764;0,169151883;-3,271528815
1995-2;208,2477;1,1997;0,5801;104,6135;2,235;5,338728237;0,182071526;-3,301476602
1995-3;205,3281;1,2118;0,584;104,5624;2,255;5,324609188;0,192106858;-3,298779753
1995-4;204,8226;1,2403;0,5912;104,6467;2,2778;5,322144239;0,215353286;-3,301778941
1996-1;207,7828;1,2708;0,5937;104,0599;2,3007;5,336493303;0,239646623;-3,290372133
1996-2;213,4089;1,2637;0,6061;102,4699;2,3219;5,363210044;0,234043926;-3,286472991
1996-3;218,233;1,2996;0,6075;102,7874;2,3359;5,385563299;0,262056525;-3,285862418
1996-4;219,8479;1,3187;0,6129;102,0928;2,3546;5,392935944;0,276646403;-3,279957853
1997-1;221,4341;1,3244;0,6173;100,9967;2,3733;5,400125028;0,280959527;-3,268406302
1997-2;227,0988;1,4113;0,6283;100,2211;2,3865;5,425385165;0,344511265;-3,272813368
1997-3;233,2682;1,4406;0,6303;98,6063;2,4052;5,452188865;0,365059693;-3,251942711
1997-4;233,4094;1,4653;0,6379;99,951;2,4197;5,452793993;0,38206;-3,271462753
1998-1;241,579;1,5164;0,6476;99,9714;2,4361;5,487196542;0,416339105;-3,280003688
1998-2;230,6409;1,5428;0,6387;100,4578;2,4538;5,440861956;0,433598947;-3,263779477
1998-3;253,5262;1,5747;0,6683;101,7376;2,4677;5,535467171;0,454064778;-3,316092302
1998-4;250,6859;1,5803;0,6739;102,912;2,4847;5,524200761;0,457614702;-3,329048779
1999-1;254,3381;1,6003;0,6757;101,3083;2,5045;5,538664484;0,470191112;-3,308073141
1999-2;252,9292;1,6782;0,6738;99,9343;2,5197;5,533109608;0,51772179;-3,285551175
1999-3;265,4527;1,7333;0,6908;99,1188;2,5428;5,58143667;0,550027106;-3,293148362
1999-4;271,8576;1,7476;0,6952;98,2073;2,5664;5,6052784;0,558243418;-3,281020707
2000-1;282,2753;1,8213;0,7002;96,8174;2,5896;5,642882836;0,599550532;-3,264934036
2000-2;290,5809;1,8893;0,7039;95,5211;2,608;5,671882023;0,63620639;-3,249644543
2000-3;308,2373;1,9202;0,7067;95,1549;2,6318;5,730869941;0,652429347;-3,240689036
2000-4;306,6908;1,9512;0,7119;94,8421;2,6527;5,725840074;0,668444568;-3,236817587
2001-1;312,5352;1,9477;0,7253;97,0021;2,6702;5,744717103;0,666649189;-3,271409335
2001-2;313,8072;1,925;0,735;96,1481;2,6911;5,748778785;0,654925968;-3,268054899
2001-3;313,1469;1,8784;0,7444;97,016;2,71;5,74667241;0,630420351;-3,282750524
2001-4;309,4409;1,8902;0,7492;97,2033;2,7238;5,734767121;0,636682644;-3,286027389
2002-1;316,0896;1,8283;0,7678;96,8953;2,7421;5,756025718;0,603386573;-3,300680967
2002-2;322,4451;1,9653;0,7663;97,2856;2,7637;5,775932889;0,675644905;-3,29489908
2002-3;322,6034;1,9624;0,7719;98,2405;2,7901;5,776423705;0,674168214;-3,302440845
2002-4;325,2851;1,9865;0,7707;98,4928;2,814;5,784702029;0,686374296;-3,294920404
2003-1;321,3486;1,9782;0,7869;100,0526;2,8321;5,772526515;0,68218734;-3,325023458
2003-2;304,9805;1,9997;0,8007;101,6322;2,85;5,72024784;0,692997169;-3,351772486
2003-3;312,0137;2,0311;0,8021;101,4942;2,8715;5,743047097;0,708577518;-3,344645122
2003-4;320,718;2,0615;0,8029;101,7019;2,8914;5,770562232;0,723433873;-3,340780066
2004-1;323,805;2,1053;0,8104;102,4119;2,9069;5,780141483;0,744457975;-3,351688369
2004-2;330,3466;2,1484;0,8056;101,6591;2,9306;5,800142406;0,764723379;-3,330249941
2004-3;323,176;2,1939;0,8387;101,9476;2,9487;5,778197066;0,785680782;-3,367192356
2004-4;328,9265;2,2384;0,841;102,7679;2,971;5,795834322;0,805761325;-3,370410832
2005-1;337,3272;2,247;0,8475;102,6589;2,996;5,821053379;0,809595993;-3,368669337
2005-2;344,5906;2,32;0,8477;101,7865;2,9966;5,842357046;0,841567186;-3,36017069
2005-3;355,7021;2,3728;0,8629;101,1228;3,0201;5,874093583;0,864070692;-3,363589207
2005-4;364,4572;2,4387;0,8718;100,7805;3,0364;5,898409123;0,89146511;-3,365077042
2006-1;364,9951;2,5065;0,8731;100,8642;3,0544;5,899883929;0,918887358;-3,361486702
2006-2;378,178;2,5619;0,8862;101,6557;3,0715;5,935364984;0,940749171;-3,378612951
2006-3;370,6267;2,5694;0,882;101,9266;3,0944;5,915195357;0,943672409;-3,369095697
2006-4;391,2065;2,6461;0,9012;102,0083;3,1189;5,969235554;0,973086858;-3,383545737
2007-1;401,0439;2,6937;0,9002;102,3903;3,144;5,994070898;0,990915713;-3,378157789
2007-2;391,6373;2,7286;0,9151;103,0711;3,1777;5,970336156;1,003788657;-3,390539447
2007-3;388,823;2,7897;0,9265;103,2652;3,1983;5,963124227;1,025934063;-3,398339785
2007-4;393,6406;2,8351;0,9383;104,2658;3,2336;5,97543831;1,04207721;-3,409661789