;M3;FYD;RB;RM
1973-1;262,747359;743,718441;0,120847;0,0679
1973-2;266,3676444;755,062483;0,122364;0,0689
1973-3;272,5960966;738,10845;0,134373;0,0744
1973-4;248,999727;751,283187;0,140802;0,0764
1974-1;239,0137066;752,003417;0,154736;0,0924
1974-2;237,6207939;738,868381;0,177991;0,0939
1974-3;237,6965832;709,479085;0,170565;0,0939
1974-4;226,4446173;691,718749;0,152227;0,0939
1975-1;234,8139504;688,238766;0,134228;0,0869
1975-2;246,8647461;683,906996;0,13348;0,0774
1975-3;254,2264995;699,547701;0,128413;0,0744
1975-4;261,6666852;756,050696;0,128836;0,0724
1976-1;266,8055458;771,304341;0,141344;0,0704
1976-2;265,5505718;783,152481;0,153119;0,0764
1976-3;266,6314586;765,268979;0,160579;0,0784
1976-4;257,1094064;771,08199;0,161832;0,1014
1977-1;265,7073725;764,091403;0,166581;0,0954
1977-2;259,9554578;768,684092;0,163021;0,0864
1977-3;260,7587108;788,595024;0,169247;0,0934
1977-4;254,942212;777,323314;0,17289;0,0954
1978-1;255,8628861;765,26867;0,171737;0,0974
1978-2;259,1229087;782,168007;0,175707;0,0864
1978-3;254,7984652;793,392802;0,171193;0,0794
1978-4;254,3018888;800,980577;0,182004;0,0754
1979-1;258,0626023;793,733546;0,170043;0,0734
1979-2;259,4529562;811,885274;0,168929;0,0754
1979-3;252,4202608;809,150105;0,178275;0,0844
1979-4;248,4588653;808,390363;0,180446;0,0994
1980-1;251,7324709;812,075319;0,191067;0,1074
1980-2;246,6963184;786,629621;0,1967;0,1194
1980-3;252,8630657;758,313803;0,1923;0,1194
1980-4;255,2745161;757,162904;0,182967;0,1054
1981-1;253,6106457;747,528983;0,184533;0,1034
1981-2;248,6496804;743,517433;0,192867;0,1074
1981-3;260,7562075;742,833142;0,203233;0,1094
1981-4;249,5001459;750,515832;0,192333;0,1074
1982-1;249,8776505;765,576071;0,203267;0,1054
1982-2;246,6382776;769,178462;0,210767;0,1094
1982-3;244,4283209;778,972704;0,208867;0,1094
1982-4;251,2495077;771,486389;0,197067;0,1084
1983-1;261,8832778;763,698862;0,1611;0,1044
1983-2;275,7006016;783,909114;0,1383;0,0854
1983-3;280,6923136;774,742383;0,1417;0,0814
1983-4;292,9094158;788,648237;0,1338;0,0834
1984-1;298,02611;802,376069;0,1341;0,0834
1984-2;307,344479;809,62118;0,1417;0,0814
1984-3;311,7067369;811,42117;0,1448;0,0834
1984-4;331,3052646;816,169205;0,1412;0,09
1985-1;328,884097;829,818466;0,1317;0,0887
1985-2;343,6700362;833,867541;0,1196;0,086
1985-3;355,9342775;856,248676;0,107;0,0784
1985-4;380,7356491;882,689478;0,1037;0,074
1986-1;391,0884699;897,039283;0,0977;0,0708
1986-2;393,0993976;913,656358;0,0984;0,0659
1986-3;393,6565387;912,303676;0,1115;0,0663
1986-4;410,03536;905,213777;0,114267;0,0738
1987-1;400,6057594;883,799751;0,119333;0,0751
1987-2;402,874863;892,490475;0,117333;0,0747
1987-3;391,7873429;880,750515;0,118967;0,0736
1987-4;397,8436942;887,383375;0,120967;0,075
1988-1;386,5144291;869,28;0,1096;0,0711
1988-2;400,2404934;879,136;0,1096;0,07
1988-3;397,3767408;862,172;0,103;0,0669
1988-4;402,8924287;876,812;0,099;0,0664
1989-1;400,3998208;885,748;0,09993;0,0637
1989-2;387,7224699;873,512;0,10147;0,0653
1989-3;379,6356208;861,216;0,10047;0,0688
1989-4;384,2530808;865,04;0,10783;0,0824
1990-1;387,2213139;858,98;0,1123;0,0869
1990-2;390,0178472;864,656;0,1078;0,0812
1990-3;399,7761638;878,144;0,1087;0,0784
1990-4;394,2728175;858,616;0,1098;0,0764
1991-1;387,6453208;847,484;0,1038;0,077
1991-2;381,894121;861,56;0,1005;0,072
1991-3;390,1399028;878,968;0,1009;0,068
1991-4;370,3426655;868,092;0,0992;0,069
1992-1;390,064028;876,168;0,0983;0,072
1992-2;397,9786657;864,528;0,0997;0,072
1992-3;392,3119837;874,02;0,1052;0,075
1992-4;374,0685615;871,684;0,1015;0,081
1993-1;391,9275887;877,832;0,0994;0,081
1993-2;412,7229316;861,428;0,0884;0,063
1993-3;418,887212;858,372;0,0852;0,06
1993-4;442,3000509;879,304;0,0797;0,049
1994-1;441,5778786;911,044;0,075795;0,037
1994-2;436,3017102;929,296;0,081132;0,034
1994-3;424,0204563;930,152;0,088497;0,034
1994-4;408,0649284;948,884;0,089913;0,036
1995-1;404,0633207;954,936;0,089889;0,036
1995-2;414,0453877;955,216;0,085777;0,042
1995-3;416,0101671;974,564;0,08186;0,04
1995-4;419,076969;989,06;0,077279;0,037
1996-1;426,6440248;980,524;0,073533;0,032
1996-2;436,9957633;986,524;0,072084;0,027
1996-3;444,3015506;994,296;0,070894;0,027
1996-4;444,5468283;997,24;0,067065;0,027
1997-1;452,6560203;1012,38;0,064079;0,026
1997-2;454,7857368;1039,164;0,063887;0,026
1997-3;458,996048;1046,168;0,062378;0,026
1997-4;475,0779045;1053,14;0,063078;0,028
1998-1;463,2124481;1078,544;0,059667;0,028
1998-2;471,5126825;1079,996;0,059021;0,03
1998-3;492,1579;1071,252;0,057352;0,031
1998-4;486,8676888;1087,796;0,055825;0,034
1999-1;495,5025995;1072,512;0,052576;0,028
1999-2;503,7137246;1073,436;0,0517;0,023
1999-3;508,6441214;1084,424;0,057468;0,022
1999-4;511,087189;1090,088;0,059704;0,024
2000-1;481,581558;1105,9;0,061009;0,025
2000-2;475,8726612;1105,168;0,06254;0,029
2000-3;475,6774983;1089,308;0,06478;0,034
2000-4;457,9259089;1100,236;0,062476;0,038
2001-1;464,1802284;1099,98;0,059057;0,037
2001-2;472,740447;1111,116;0,059308;0,035
2001-3;483,0444121;1116,356;0,057487;0,033
2001-4;478,5162641;1111,768;0,054673;0,027
2002-1;475,0571915;1108,284;0,055442;0,026
2002-2;499,9880009;1128,912;0,055676;0,025
2002-3;513,5533917;1123,984;0,051807;0,026
2002-4;521,2447494;1122,004;0,049808;0,025
2003-1;516,314151;1118,160588;0,044969;0,022667